Host,Topic,ID,Start Time,File Size (MB),File Count,Total Views,Total Downloads,Last Accessed,Auto Delete Status,Auto Delete Date
102room@shambhalaonline.org, White Tara: The Wheel of Compassion ,878 2271 4489,"Sep 28, 2025 09:24:28 AM",1147.5130,5,0,2,"Sep 28, 2025 12:44:48 PM",true,2025-10-28
105room@shambhalaonline.org,Open Sky: Level V,838 7228 2206,"Sep 28, 2025 07:25:05 AM",1601.3565,8,0,4,"Sep 28, 2025 03:47:15 PM",true,2025-10-28
108room@shambhalaonline.org,Exploring the Landscape of the Vajrayana,818 5396 9351,"Sep 28, 2025 07:24:51 AM",452.9942,3,0,2,"Sep 28, 2025 10:17:01 AM",true,2025-10-28
102room@shambhalaonline.org,Rediscovering the Magic of The Letter of The Black Ashe: Warrior Assembly Graduate Series,814 3379 6919,"Sep 27, 2025 09:29:03 AM",1172.8937,9,0,4,"Sep 27, 2025 01:15:05 PM",true,2025-10-27
105room@shambhalaonline.org,Open Sky: Level V,838 7228 2206,"Sep 27, 2025 07:04:54 AM",1149.3595,11,0,7,"Sep 27, 2025 03:56:50 PM",true,2025-10-27
Board@shambhala.info,Board Meeting,813 6918 5213,"Sep 26, 2025 10:59:50 AM",1026.6670,4,1,0,"Oct 4, 2025 04:51:39 PM",true,2025-10-26
Board@shambhala.info,Nominating Committee,828 1530 3476,"Sep 24, 2025 08:58:28 AM",195.7638,3,0,0,,true,2025-10-24
103room@shambhalaonline.org,Host Training and Level Planning,859 7624 4496,"Sep 22, 2025 12:50:36 PM",429.2772,4,0,2,"Sep 22, 2025 02:57:45 PM",true,2025-10-22
101room@shambhalaonline.org,Shambhala Sunday Gatherings,870 8841 4804,"Sep 21, 2025 11:22:07 AM",263.2255,5,0,3,"Sep 21, 2025 01:20:38 PM",true,2025-10-21
102room@shambhalaonline.org, White Tara: The Wheel of Compassion ,878 2271 4489,"Sep 21, 2025 08:51:25 AM",1009.1113,5,0,2,"Sep 21, 2025 12:46:55 PM",true,2025-10-21
102room@shambhalaonline.org,Rediscovering the Magic of The Letter of The Black Ashe: Warrior Assembly Graduate Series,814 3379 6919,"Sep 20, 2025 09:27:09 AM",1247.7887,5,0,2,"Sep 20, 2025 01:23:36 PM",true,2025-10-20
108room@shambhalaonline.org,The Funeral Ceremony of Lady Diana Judith Mukpo,830 1195 5289,"Sep 17, 2025 08:22:31 AM",775.1628,4,0,2,"Sep 17, 2025 01:01:06 PM",true,2025-10-17
108room@shambhalaonline.org,The Funeral Ceremony of Lady Diana Judith Mukpo,830 1195 5289,"Sep 17, 2025 06:04:24 AM",705.9635,9,0,4,"Sep 17, 2025 08:34:57 AM",true,2025-10-17
101room@shambhalaonline.org,Shambhala Sunday Gatherings,870 8841 4804,"Sep 14, 2025 11:28:04 AM",750.3465,5,0,2,"Sep 14, 2025 01:20:27 PM",true,2025-10-14
103room@shambhalaonline.org,Shambhala Training Level I: The Art of Being Human,896 2205 6700,"Sep 14, 2025 07:19:53 AM",1072.2395,10,0,4,"Sep 14, 2025 04:12:39 PM",true,2025-10-14
102room@shambhalaonline.org,Rediscovering the Magic of The Letter of The Black Ashe: Warrior Assembly Graduate Series,814 3379 6919,"Sep 13, 2025 09:21:54 AM",1053.5447,5,0,2,"Sep 13, 2025 12:48:47 PM",true,2025-10-13
103room@shambhalaonline.org,Shambhala Training Level I: The Art of Being Human,896 2205 6700,"Sep 13, 2025 07:06:51 AM",1123.5636,8,0,4,"Sep 13, 2025 04:07:41 PM",true,2025-10-13
Board@shambhala.info,Shambhala Board's Personal Meeting Room,839 640 7662,"Sep 12, 2025 10:27:49 AM",1043.2829,4,1,0,"Sep 19, 2025 11:21:50 AM",true,2025-10-12
taratemplin80@gmail.com,Water Tank Project/Water Well testing,838 6990 4403,"Sep 10, 2025 01:29:14 PM",157.7037,3,0,0,,true,2025-10-10
Board@shambhala.info,Policy Working Group,897 6219 5774,"Sep 10, 2025 10:37:22 AM",206.2261,3,0,0,,true,2025-10-10
103room@shambhalaonline.org,Host Training and Level Planning,859 7624 4496,"Sep 8, 2025 12:45:19 PM",541.5655,4,0,2,"Sep 8, 2025 02:33:00 PM",true,2025-10-08
taratemplin80@gmail.com,KCL land use committee,885 9912 1421,"Sep 8, 2025 10:25:56 AM",241.3243,4,0,0,,true,2025-10-08
101room@shambhalaonline.org,Shambhala Sunday Gatherings,870 8841 4804,"Sep 7, 2025 11:34:40 AM",361.8971,5,0,2,"Sep 7, 2025 01:31:46 PM",true,2025-10-07
102room@shambhalaonline.org,Rediscovering the Magic of The Letter of The Black Ashe: Warrior Assembly Graduate Series,814 3379 6919,"Sep 6, 2025 09:15:10 AM",1124.1911,5,0,2,"Sep 6, 2025 01:04:34 PM",true,2025-10-06
